Title,Authors,Read Status,Star Rating,Tags,Number of Pages,Formats,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Storygraph ID
The Name of the Wind,Patrick Rothfuss,Read,5,fiction|fantasy,662,Physical,2022-09-01,2022-09-28,"2022-09-01 to 2022-09-28",1,"adventurous,mysterious",fast,the-name-of-the-wind
Piranesi,Susanna Clarke,Read,5,fiction|fantasy,272,Physical,2021-10-15,2021-11-14,"2021-11-01 to 2021-11-14",1,"mysterious,reflective,dark",fast,piranesi
The Midnight Library,Matt Haig,Read,4,fiction,288,Digital,2023-01-03,2023-01-20,"2023-01-03 to 2023-01-20",1,"emotional,hopeful,reflective",medium,the-midnight-library
Project Hail Mary,Andy Weir,Read,5,fiction|sci-fi,476,Physical,2023-02-01,2023-02-22,"2023-02-01 to 2023-02-22",1,"adventurous,funny,tense",fast,project-hail-mary
Pachinko,Min Jin Lee,Read,5,fiction|historical,496,Digital,2023-03-01,2023-04-05,"2023-03-01 to 2023-04-05",1,"emotional,dark,reflective"],slow,pachinko
Mexican Gothic,Silvia Moreno-Garcia,Read,4,fiction|horror,301,Physical,2023-04-10,2023-04-28,"2023-04-10 to 2023-04-28",1,"dark,mysterious,tense",medium,mexican-gothic
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Read,5,fiction|sci-fi|humor,193,Digital,2023-05-01,2023-05-10,"2023-05-01 to 2023-05-10",2,"funny,adventurous",fast,the-hitchhikers-guide-to-the-galaxy
Crying in H Mart,Michelle Zauner,Read,4,non-fiction|memoir,239,Audiobook,2023-06-01,2023-06-18,"2023-06-01 to 2023-06-18",1,"emotional,reflective,sad",medium,crying-in-h-mart
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Read,5,fiction,388,Digital,2023-07-02,2023-07-20,"2023-07-02 to 2023-07-20",1,"emotional,funny,romantic"],fast,the-seven-husbands-of-evelyn-hugo
Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,Read,5,fiction,416,Physical,2023-08-01,2023-09-01,"2023-08-01 to 2023-09-01",1,"emotional,hopeful,reflective"],slow,tomorrow-and-tomorrow-and-tomorrow
